CLAVELoc,NomPTAR,Mpio,Estatus
170010001,Amacuzac 1,Amacuzac,Activa
170010005,Huajintlan,Amacuzac,Fuera de Operación
170010001,Teacalco,Amacuzac,Fuera de Operación
170020033,Lomas de Cocoyoc,Atlatlahuacan,Activa
170020001,Atlatlahuacan,Atlatlahuacan,Activa
170020029,El Astillero,Atlatlahuacan,Activa
170030001,Axochiapan,Axochiapan,Fuera de Operación
170040005,San Pedro Apatlaco,Ayala,Activa
170440001,Fraccionamiento Paseos de Ayala 2,Ayala,Activa
170440001,Fraccionamiento Paseos de Ayala,Ayala,Fuera de Operación
170040049,Unidad habitacional M. Matamoros,Ayala,Fuera de Operación
170040084,Loma Bonita 2,Ayala,Activa
170040070,Col. 10 de Abril,Ayala,Fuera de Operación
170040080,El Chivatero,Ayala,Fuera de Operación
170040012,Jaloxtoc 1,Ayala,Fuera de Operación
170440001,La Longaniza,Ayala,Fuera de Operación
170040084,Loma Bonita 1,Ayala,Fuera de Operación
170040069,Ranco El Pañuelo,Ayala,Fuera de Operación
170050001,Coatlán del Río,Coatlán del Río,Fuera de Operación
170060001,Cuautla,Cuautla,Activa
170060001,Santa Inés,Cuautla,Activa
170060001,Unidad habitacional Piedra Blanca,Cuautla,Activa
170060001,Norponiente (centenario),Cuautla,Activa
170060001,Calderón,Cuautla,Activa
170060001,19 de Febrero,Cuautla,Activa
170060001,19 de Febrero No. 1,Cuautla,Activa
170060134,Galeana Sur (Gabriel Tepepa),Cuautla,Activa
170060014,El Hospital,Cuautla,Fuera de Operación
170060001,Tezahuapan,Cuautla,Fuera de Operación
170060001,Arboledas,Cuautla,Fuera de Operación
170070001,Acapantzingo,Cuernavaca,Activa
170070001,Lomas de Ahuatlán,Cuernavaca,Activa
170070001,Lomas de Cortes,Cuernavaca,Fuera de Operación
170070001,Parque Solidaridad,Cuernavaca,Fuera de Operación
170070001,Chipitlán,Cuernavaca,Fuera de Operación
170070001,Arboledas-Chipitlán,Cuernavaca,Activa
170070001,Buena Vista del Monte,Cuernavaca,Activa
170070001,Sacatierra,Cuernavaca,Fuera de Operación
170080001,El Encanto,Emiliano Zapata,Activa
170080001,La Campiña,Emiliano Zapata,Activa
170080001,Alameda,Emiliano Zapata,Activa
170080001,Nustar,Emiliano Zapata,Activa
170080004,Fraccionamiento Las Garzas,Emiliano Zapata,Fuera de Operación
170090017,Tres Marías,Huitzilac,Fuera de Operación
170100002,Amayuca,Jantetelco,Fuera de Operación
170100001,Jantetelco (Bordo El Jaguey),Jantetelco,Fuera de Operación
170100001,Jantetelco (Amazicnat),Jantetelco,Fuera de Operación
170110001,La Gachupina,Jiutepec,Activa
170110001,Las Moras I,Jiutepec,Fuera de Operación
170110001,Las Moras II,Jiutepec,Activa
170110001,Unidad habitacional La Joya,Jiutepec,Fuera de Operación
170110001,Unidad habitacional El Paraje (El Texcal),Jiutepec,Activa
170110001,Rinconada Palmira,Jiutepec,Activa
170120001,Regional Jojutla,Jojutla,Activa
170120012,Tequesquitengo,Jojutla,Activa
170120012,Villas Teques,Jojutla,Activa
170120011,La Guadalupe,Jojutla,Fuera de Operación
170130001,Jonacatepec,Jonacatepec,Activa
170130006,Tetelilla,Jonacatepec,Activa
170130002,Amacuitlapilco,Jonacatepec,Fuera de Operación
170130007,Tlayca,Jonacatepec,Fuera de Operación
170150001,Miacatlán,Miacatlán,Fuera de Operación
170150004,Coatetelco,Miacatlán,Fuera de Operación
170150001,Rastro TIF,Miacatlán,Fuera de operación
170160001,Ocuituco,Ocuituco,Activa
170170009,Xoxocotla,Puente de Ixtla,Fuera de Operación
170170008,San José Vista Hermosa,Puente de Ixtla,Fuera de Operación
170170007,Tilzapotla,Puente de Ixtla,Fuera de Operación
170180001,El Rayo,Temixco,Activa
170180004,Cuentepec 2,Temixco,Activa
170180004,Cuentepec 1,Temixco,Fuera de Operación
170180004,Cuentepec 3,Temixco,Fuera de Operación
170180001,Acatlipa,Temixco,Fuera de Operación
170180008,San Agustin Tetlama,Temixco,Fuera de Operación
170180001,Ayuntamiento 2000,Temixco,Fuera de Operación
170180001,Colinas del Altar,Temixco,Activa
170180001,Claustro La Hacienda,Temixco,Fuera de Operación
170180001,Punta Verde Pueblo viejo,Temixco,Activa
170180001,Mantaro Campo Verde,Temixco,Activa
170180001,AR Campo Verde,Temixco,Fuera de Operación
170180001,EMESSA Campo Verde,Temixco,Fuera de Operación
170180001,EMESSA Mesones,Temixco,Fuera de Operación
170180001,Fraccionamiento GEO Villas,Temixco,Fuera de Operación
170330001,Temoac,Temoac,Activa
170190001,Tepalcingo,Tepalcingo,Activa
170190002,Atotonilco,Tepalcingo,Activa
170190011,Zacapalco,Tepalcingo,Fuera de Operación
170190005,Ixtlilco el Grande,Tepalcingo,Fuera de Operación
170190004,Ixtlilco el Chico,Tepalcingo,Activa
170200103,Tepoztlán,Tepoztlán,Activa
170200011,Rinconada Acolapa,Tepoztlán,Activa
170200071,El Texcal,Tepoztlán,Fuera de Operación
170200010,La Obrera,Tepoztlán,Activa
170200006,Santa Catarina,Tepoztlán,Fuera de Operación
170220001,Tetela del Volcán,Tetela del Volcán,Activa
170220002,Hueyapan 1,Tetela del Volcán,Fuera de Operación
170220002,Hueyapan 2,Tetela del Volcán,Fuera de Operación
170220002,Hueyapan 3,Tetela del Volcán,Fuera de Operación
170220002,Hueyapan 4,Tetela del Volcán,Fuera de Operación
170220003,San Pedro Tlamimilulpan,Tetela del Volcán,Activa
170240013,Santa Rosa 30,Tlaltizapán,Activa
170240001,Las Juntas,Tlaltizapán,Fuera de Operación
170240007,Huatecalco,Tlaltizapán,Fuera de Operación
170260004,San José de Los Laureles,Tlayacapan,Activa
170260006,Tlayacapan (Nacatongo),Tlayacapan,Fuera de Operación
170260047,El Golán,Tlayacapan,Fuera de Operación
170260002,San Agustín Amatlipac,Tlayacapan,Fuera de Operación
170280001,Regional,Xochitepec,Activa
170280001,Dos Ríos,Xochitepec,Activa
170280001,Solares,Xochitepec,Activa
170280001,Los Laureles,Xochitepec,Activa
170280002,Alpuyeca,Xochitepec,Fuera de Operación
170290001,Yautepec,Yautepec,Activa
170300001,Yecapixtla,Yecapixtla,Activa
17030009,Yecapixteca,Yecapixtla,Fuera de Operación
170310001,Zacatepec,Zacatepec de Hidalgo,Activa
170320001,Zacualpan de Amilpas,Zacualpan,Activa
170320006,Monte La Era,Zacualpan,Activa
